"id","term_id","translation"
1,1,"The First Letter Of The Pashto Alphabet"
2,2,"Father, Denial, Refusal"
3,3,"Swallow"
4,4,"Inhabited, Populated, Prosperous, Flourishing, Wealthy, Constructed"
5,5,"Plentiful Ness, Wealth, Abundance, State Of Being Cultivated"
6,6,"Father-Hood"
7,7,"Build, To Cultivate, To Construct"
8,8,"Building, The Act Of Constructing"
9,9,"Become Prosperous, To Become Cultivated"
10,10,"Flourish, Prosper, Prosperity"
11,11,"Flourishing"
12,12,"Populous Ness, Habitable Place, Flourishing Condition"
13,13,"Abahati, The Name Of A Sect Of Muhammadans Who Maintain That The Law And Good Works Are Of No Avail"
14,14,"Abakhel, The Name Of An Afghan Tribe, Relatives On One'S Father'S Side"
15,15,"Abakhel, The Name Of A Tribe Of Afghans"
16,16,"Inhabited, Populated, Prosperous, Flourishing, Wealthy, Constructed"
17,17,"Build, To Cultivate, To Construct"
18,18,"Building, The Act Of Constructing"
19,19,"Become Prosperous, To Become Cultivated"
20,20,"Flourish, Prosper, Prosperity"
21,21,"Population, Habitable Place, Flourishing Condition"
22,22,"Cultivation, Population, Abundance, Prosperity"
23,23,"Abazey, The Name Of A Tribe Of Afghans"
24,24,"The Indus"
25,25,"Abasind"
26,26,"Paternal Relatives"
27,27,"Paternal"
28,28,"Beginning, Outset, Start, Dawn"
29,29,"Primary, Elementary, Primitive, Initial, Essential, Fundamental"
30,30,"Distressed, Worried, Perplexed, Devoid Of Good Qualities, Bobtailed, Curtailed"
31,31,"Worry, To Perplex, To Curtail, To Disturb, To Distress"
32,32,"Become Distressed, To Become Worried, To Become Perplexed, To Become Disturbed"
33,33,"Initiative, Leading Action, Innovation"
34,34,"Innovative"
35,35,"Useless, Fruitless, Vain, Lost Labor"
36,36,"The Arabic Alphabet Arranged According To The Numerical Values Of The Letters"
37,37,"Raisin, A Kind Of Raisin"
38,38,"Disputes, Arguments, Debates, Controversies, Discussion"
39,39,"Oceans"
40,40,"Eternity"
41,41,"Innovation, Origination, Creation, Invention"
42,42,"Saint, Hermit, Monk"
43,43,"Abdali, The Name Of An Afghan Tribe"
44,44,"Eternal, Everlasting, Perpetual"
45,45,"Eternity, Perpetuity, Timelessness"
46,46,"Quittance, Forgiveness, Discharge From A Debt Or Obligation"
47,47,"Holy, Just, Pious"
48,48,"Abraham, The Man'S Name, The Patriarch Abraham"
49,49,"Mica, Muscovite"
50,50,"Crop, Yield, Harvest, A Cashmere, Shawl, The Top Part"
51,51,"Fertile, Productive, Rich"
52,52,"Dignity, Honour"
53,53,"Honourable, Respectable, Reputable"
54,54,"Vegetation, Green Vegetation At The Bottom Of Pool"
55,55,"Water Fall"
56,56,"Mansions, Distances"
57,57,"Dad, Daddy"
58,58,"Bare, Bared Feet"
59,59,"Bare, Barefooted, Unshod"
60,60,"Conveying, Sending, Act Of Communication, An Official Notice"
61,61,"Informing, Converging, Aiming At, Obtaining An End, Causing To Arrive, Sending"
62,62,"Inform, To Communicate, To Transmit"
63,63,"Inform, To Become Communicated, To Become Transmitted"
64,64,"Announcement, A Communique, An Official Notice"
65,65,"Piebald, Black And White, Party-Coloured"
66,66,"Piebald, Variegated"
67,67,"Foolish, Silly, A Fool"
68,68,"Adolescent, Pubescent"
69,69,"Satan, The Devil"
70,70,"Devil, The Devil"
71,71,"Iban, Son"
72,72,"Ambiguity, Vagueness, Uncertainty"
73,73,"Father, Used As A Prefix To Proper Names"
74,74,"Abobakar, The Name Of The First Khalifah"
75,75,"Mama"
76,76,"Ambergris"
77,77,"Apartment, Flat"
78,78,"Tip Cat, The Game Of Cat And Dog, Tip-Cat"
79,79,"Apreday, The Name Of An Afghan Tribe"
80,80,"Operation, Surgery"
81,81,"April"
82,82,"Afredai, The Name Of A Tribe Of Afghans Who Are The Pest Of The Peshawar District"
83,83,"A Game, A Kind Of Children'S Game Played With One Long And One Short Stick"
84,84,"Plato"
85,85,"Low, Obscene, Dirty, Filthy"
86,86,"Nonsense"
87,87,"Appendicitis"
88,88,"Appendix, A Vermiform Appendix"
89,89,"Overturned, Against, Perplexed"
90,90,"Swallow, To Gulp, To Devour"
91,91,"Viper"
92,92,"Opium"
93,93,"Opium"
94,94,"United States"
95,95,"Attache"
96,96,"Food, Aliment, Daily Bread, Crumb, Fragments Of Food"
97,97,"Sunday"
98,98,"Citizens, Retinue, Followers, Subjects"
99,99,"Union, Alliance, League, Concord"
100,100,"Union"
101,101,"Octagonal, Octangular"
102,102,"Atrang, The Name Of A Plant Used In Dyeing"
103,103,"Austria"
104,104,"Fire-Worshipper"
105,105,"Fire-Works"
106,106,"Fork, Fork For Holding Fire"
107,107,"Syphilis, A Vine Disease"
108,108,"A Fire-Temple"
109,109,"Contiguity, Junction, Connection"
110,110,"Admonition, Advice, Admonishing, Receiving Admonition"
111,111,"Agreement, Concord, Alliance, Union"
112,112,"Accidental, By Chance"
113,113,"More Or Most Pious"
114,114,"Reliance, Leaning"
115,115,"Leaning Against, Reclining Upon, Trusting To, Confiding In"
116,116,"Hand Cuffs"
117,117,"Mama"
118,118,"Hero"
119,119,"Eighteen"
120,120,"Eighteenth"
121,121,"Chief Of Operations"
122,122,"Heroism, Heroic Conduct, Velour"
123,123,"Eighth"
124,124,"Completing, Perfecting, Accomplishing"
125,125,"Atmankhel, The Name Of A Tribe Of Afghans"
126,126,"Atmankhel, An Afghan Tribe"
127,127,"Atmanzay, An Afghan Tribe"
128,128,"Throng, A Crowd, Crowding"
129,129,"Atmosphere"
130,130,"Ethnography"
131,131,"Eight And A Half"
132,132,"Dance, Afghan National Dance"
133,133,"Dancer"
134,134,"Eight"
135,135,"Eighty-Eight"
136,136,"Seventy-Eight"
137,137,"Fifty-Eight"
138,138,"Forty-Eight"
139,139,"Thirty-Eight"
140,140,"Sixty-Eight"
141,141,"Eighteen"
142,142,"Ninety-Eight"
143,143,"Twenty Eight"
144,144,"Twenty-Eight"
145,145,"Accusation, Charge, Indictment"
146,146,"Flatiron"
147,147,"Sunday"
148,148,"Pudding, Pudding Prepared From Flour, Sugar, And Oil"
149,149,"Atozai, The Name Of An Afghan Tribe"
150,150,"Atom"
151,151,"Automatic"
152,152,"Automatic"
153,153,"Atomic"
154,154,"Elephant"
155,155,"Eighty"
156,156,"First, From The Beginning, Beginning"
157,157,"Eightieth"
158,158,"Eighty-Eight"
159,159,"Eightieth"
160,160,"Unemployed, Out Of Place"
161,161,"Atac, The Name Of A Town On The Indus, The River Indus"
162,162,"Guessing, An Estimate, Assumption"
163,163,"Guess, To Estimate, To Assume, Conjecture"
164,164,"Estimate, To Be Estimated"
165,165,"Conjectural, Estimated, Approximate"
166,166,"Hiccup, Hiccough"
167,167,"Skein, Hank"
168,168,"Reel, Spool, Bobbin"
169,169,"Overeat, Stuff"
170,170,"Stuffed"
171,171,"Stuffed"
172,172,"Skein, Hank"
173,173,"Reel For Winding Silk,  Reel For Winding Silk, Thread, Cotton, Etc."
174,174,"Furniture"
175,175,"Proof"
176,176,"Proof"
177,177,"Proof"
178,178,"Corroborating, To Become Corroborated, Confirmed, Proved"
179,179,"Effect, Trace, Sign, Mark, Indication, Evidence"
180,180,"To Operate, To Take Effect, To Make Impression"
181,181,"Moment, Interval, During, Space Of Time"
182,182,"Ether"
183,183,"Consenting, Answering, Complying, Compliance, Consent"
184,184,"Lease"
185,185,"Lease Holder"
186,186,"Permission, Leave, Dispensation, Sanction, Order"
187,187,"Permission, Admission"
188,188,"License, Permit"
189,189,"Hajaney, A Female Who Has Made A Pilgrimage To Mecca"
190,190,"Craving, Craving Of Pregnant Women For Matter Containing Calcium And Sour Food"
191,191,"Compulsory, Forced, Obligatory"
192,192,"Gathering, Meeting, Assembly, Congregation"
193,193,"Social, Companionable, Sociable"
194,194,"Avoidance, Shunning, Abstention, Refrainment"
195,195,"Assiduity, Striving Hard, Application, Diligence, Practice Of Divine Science Or Theology"
196,196,"Ancestors, Fathers"
197,197,"Ancestral, Traditional"
198,198,"Reward, A Compensate, Requital, Retribution"
199,199,"Execution, Fulfilment, Performance, Carrying Out"
200,200,"Celestial Bodies"
201,201,"Executive, Administrative"
202,202,"Wage, Payment"
