"id","term","term_lang_id","origin_id","user_id","lang_part_id","nativity_scale"
1,﻿ا,4,,1,,1
2,ابا,4,,1,,2
3,ابابيله,4,,1,,3
4,ابات,4,,1,,4
5,اباتوالی,4,,1,,5
6,اباتوب,4,,1,,1
7,اباتول,4,,1,,2
8,اباتونه,4,,1,,3
9,اباتېدل,4,,1,,4
10,اباتېدنه,4,,1,,5
11,اباتېدونکی,4,,1,,1
12,اباتي,4,,1,,2
13,اباحتی,4,,1,,3
14,اباخېل,4,,1,,4
15,اباخیل,4,,1,,5
16,اباد,4,,1,,1
17,ابادول,4,,1,,2
18,ابادونه,4,,1,,3
19,ابادېدل,4,,1,,4
20,ابادېدنه,4,,1,,5
21,ابادي,4,,1,,1
22,ابادی,4,,1,,2
23,ابازی,4,,1,,3
24,اباسين,4,,1,,4
25,اباسيند,4,,1,,5
26,اباګنۍ,4,,1,,1
27,ابايي,4,,1,,2
28,ابتدا,4,,1,,3
29,ابتدايي,4,,1,,4
30,ابتر,4,,1,,5
31,ابترول,4,,1,,1
32,ابترېدل,4,,1,,2
33,ابتکار,4,,1,,3
34,ابتکاري,4,,1,,4
35,ابته,4,,1,,5
36,ابجد,4,,1,,1
37,ابجوشه,4,,1,,2
38,ابحاث,4,,1,,3
39,ابحار,4,,1,,4
40,ابد,4,,1,,5
41,ابداع,4,,1,,1
42,ابدال,4,,1,,2
43,ابدالی,4,,1,,3
44,ابدي,4,,1,,4
45,ابديت,4,,1,,5
46,ابرا,4,,1,,1
47,ابرار,4,,1,,2
48,ابراهیم,4,,1,,3
49,ابرک,4,,1,,4
50,ابره,4,,1,,5
51,ابره ور,4,,1,,1
52,ابرو,4,,1,,2
53,ابرومن,4,,1,,3
54,ابړۍ,4,,1,,4
55,ابشار,4,,1,,5
56,ابعاد,4,,1,,1
57,ابک,4,,1,,2
58,ابل,4,,1,,3
59,ابل ,4,,1,,4
60,ابلاغ,4,,1,,5
61,ابلاغ ,4,,1,,1
62,ابلاغول,4,,1,,2
63,ابلاغېدل,4,,1,,3
64,ابلاغيه,4,,1,,4
65,ابلق,4,,1,,5
66,ابلک,4,,1,,1
67,ابله ,4,,1,,2
68,ابلوڅ,4,,1,,3
69,ابليس,4,,1,,4
70,ابلیس,4,,1,,5
71,ابن,4,,1,,1
72,ابهام,4,,1,,2
73,ابو,4,,1,,3
74,ابوبکر,4,,1,,4
75,ابۍ,4,,1,,5
76,ابیر,4,,1,,1
77,اپارتمان,4,,1,,2
78,اپاس ډنډه,4,,1,,3
79,اپرېدی,4,,1,,4
80,اپرېشن,4,,1,,5
81,اپرېل,4,,1,,1
82,اپريدی,4,,1,,2
83,اپس ډنډه,4,,1,,3
84,اپلاتون,4,,1,,4
85,اپلت,4,,1,,5
86,اپلتې,4,,1,,1
87,اپنډېڅيت,4,,1,,2
88,اپنډېکس,4,,1,,3
89,اپوټه,4,,1,,4
90,اپېلل,4,,1,,5
91,اپي,4,,1,,1
92,اپيم,4,,1,,2
93,اپين,4,,1,,3
94,اتازوني,4,,1,,4
95,اتاشه,4,,1,,5
96,اتام,4,,1,,1
97,اتبار,4,,1,,2
98,اتباع,4,,1,,1
99,اتحاد,4,,1,,2
100,اتحاديه,4,,1,,3
101,اتڅنډ,4,,1,,4
102,اترنګ,4,,1,,5
103,اتريش,4,,1,,1
104,اتش پرست,4,,1,,2
105,اتشبازي,4,,1,,3
106,اتشګير,4,,1,,4
107,اتشک,4,,1,,5
108,اتشکده,4,,1,,1
109,اتصال,4,,1,,2
110,اتعاظ,4,,1,,3
111,اتفاق,4,,1,,4
112,اتفاقي,4,,1,,5
113,اتقي,4,,1,,1
114,اتکا,4,,1,,2
115,اتکا ,4,,1,,3
116,اتکړۍ,4,,1,,4
117,اتکۍ,4,,1,,5
118,اتل,4,,1,,1
119,اتلس,4,,1,,2
120,اتلسم,4,,1,,3
121,اتلوال,4,,1,,4
122,اتلواله,4,,1,,5
123,اتم,4,,1,,1
124,اتمام,4,,1,,2
125,اتمان خیل,4,,1,,3
126,اتمانخېل,4,,1,,4
127,اتمانزی,4,,1,,5
128,اتمبار,4,,1,,1
129,اتموسفير,4,,1,,2
130,اتنوګرافي,4,,1,,3
131,اتنيم,4,,1,,4
132,اتڼ,4,,1,,5
133,اتڼچي,4,,1,,1
134,اته,4,,1,,2
135,اته اتيا,4,,1,,3
136,اته اویا,4,,1,,4
137,اته پنڅوس,4,,1,,5
138,اته څلویښت,4,,1,,1
139,اته ديرش,4,,1,,2
140,اته شپیته,4,,1,,3
141,اته لس,4,,1,,4
142,اته نوي,4,,1,,5
143,اته ويشت,4,,1,,1
144,اته ویشت,4,,1,,2
145,اتهام,4,,1,,3
146,اتو,4,,1,,4
147,اتوار,4,,1,,5
148,اتوب,4,,1,,1
149,اتوزی,4,,1,,2
150,اتوم,4,,1,,3
151,اتومات,4,,1,,4
152,اتوماتيک,4,,1,,5
153,اتومي,4,,1,,1
154,اتي,4,,1,,2
155,اتيا,4,,1,,3
156,اتياونه,4,,1,,4
157,اتيايم,4,,1,,5
158,اتیا,4,,1,,3
159,اتیایم,4,,1,,4
160,اټال,4,,1,,5
161,اټک,4,,1,,1
162,اټکل,4,,1,,2
163,اټکلول,4,,1,,3
164,اټکلېدل,4,,1,,4
165,اټکلي,4,,1,,5
166,اټکۍ,4,,1,,1
167,اټه,4,,1,,2
168,اټېران,4,,1,,3
169,اټېرل,4,,1,,4
170,اټېرلی,4,,1,,5
171,اټېرن,4,,1,,1
172,اټۍ,4,,1,,2
173,اټیران,4,,1,,3
174,اثاث,4,,1,,4
175,اثبات,4,,1,,5
176,اثباتول,4,,1,,1
177,اثباتېدل,4,,1,,2
178,اثباتيدل,4,,1,,3
179,اثر,4,,1,,4
180,اثر کول,4,,1,,5
181,اثنا,4,,1,,1
182,اثير,4,,1,,2
183,اجابت,4,,1,,3
184,اجاره,4,,1,,4
185,اجاره دار,4,,1,,5
186,اجازت,4,,1,,1
187,اجازه,4,,1,,2
188,اجازه نامه,4,,1,,3
189,اجاڼۍ,4,,1,,4
190,اجايي,4,,1,,5
191,اجباري,4,,1,,1
192,اجتماع,4,,1,,2
193,اجتماعي,4,,1,,3
194,اجتناب,4,,1,,4
195,اجتهاد,4,,1,,5
196,اجداد,4,,1,,1
197,اجدادي,4,,1,,2
198,اجر,4,,1,,3
199,اجرا,4,,1,,4
200,اجرام,4,,1,,5
201,اجرائيه,4,,1,,1
202,اجرت,4,,1,,2
203,اجره,4,,1,,3
204,اجزا,4,,1,,4
205,اجسام,4,,1,,5
206,اجل,4,,1,,1
207,اجل نيولی,4,,1,,2
208,اجلاس,4,,1,,3
209,اجلاسيه,4,,1,,4
210,اجلځی,4,,1,,5
211,اجماع,4,,1,,1
212,اجمال,4,,1,,2
213,اجمالي,4,,1,,3
214,اجناس,4,,1,,4
215,اجنبي,4,,1,,5
216,اجنبی,4,,1,,1
217,اجڼه,4,,1,,2
218,اجوت,4,,1,,3
219,اجوتول,4,,1,,4
220,اجوره,4,,1,,5
221,اجير,4,,1,,1
222,اچار,4,,1,,2
223,اچت ,4,,1,,3
224,اچت والی,4,,1,,4
225,اچتول,4,,1,,5
226,اچتيدل,4,,1,,1
227,اچه,4,,1,,2
228,اچول,4,,1,,3
229,اچولی,4,,1,,4
230,اچونه,4,,1,,5
231,اچونی,4,,1,,1
232,اچۍ,4,,1,,2
233,احاد یث,4,,1,,3
234,احاديث,4,,1,,4
235,احاطه,4,,1,,5
236,احباب,4,,1,,1
237,احتجاج,4,,1,,2
238,احتراز,4,,1,,3
239,احتراق,4,,1,,4
240,احترام,4,,1,,5
241,احتفال,4,,1,,1
242,احتکار,4,,1,,2
243,احتکاري,4,,1,,3
244,احتکاک,4,,1,,4
245,احتلام,4,,1,,5
246,احتمال,4,,1,,1
247,احتمالي,4,,1,,2
248,احتمام,4,,1,,3
249,احتياج,4,,1,,4
250,احتياط,4,,1,,5
251,احتياطي,4,,1,,1
252,احتیاط,4,,2,,2
253,احد,4,,2,,3
254,احرام,4,,2,,4
255,احزاب,4,,2,,5
256,احساس,4,,2,,1
257,احساسات,4,,2,,2
258,احساساتي,4,,2,,3
259,احساسول,4,,2,,4
260,احسان,4,,2,,5
261,احصائيه,4,,2,,1
262,احضار,4,,2,,2
263,احضارول,4,,2,,3
264,احکام,4,,2,,4
265,احمدزی,4,,2,,5
266,احمق,4,,2,,1
267,احوال,4,,2,,2
268,احول,4,,2,,3
269,احياء,4,,2,,4
270,احياناً,4,,2,,5
271,اڅا,4,,2,,1
272,اڅکزی,4,,2,,2
273,اڅکه,4,,2,,3
274,اڅکيزه,4,,2,,4
275,اڅنړل,4,,2,,5
276,اڅڼل,4,,2,,1
277,اڅه,4,,2,,2
278,اخ,4,,2,,3
279,اخ و ټوخ,4,,2,,4
280,اخ و ډب,4,,2,,5
281,اخبار,4,,2,,1
282,اختر,4,,2,,2
283,اختراع,4,,2,,3
284,اختری,4,,2,,4
285,اختصار,4,,2,,5
286,اختصارول,4,,2,,1
287,اختصاص,4,,2,,2
288,اختصاصي,4,,2,,3
289,اختفا,4,,2,,4
290,اختلاس,4,,2,,5
291,اختلاف,4,,2,,1
292,اختلال,4,,2,,2
293,اختناق,4,,2,,3
294,اخته,4,,2,,4
295,اختيار,4,,2,,5
296,اختياري,4,,2,,1
297,اختیار,4,,2,,2
298,اختیارول,4,,2,,3
299,اخرا,4,,2,,4
300,اخراج,4,,2,,5
301,اخراجول,4,,2,,1
302,اخراجيدل,4,,2,,2
303,اخښل,4,,2,,3
304,اخښی,4,,2,,4
305,اخطار,4,,2,,5
306,اخطلاط,4,,2,,1
307,اخفأ,4,,2,,2
308,اخګر,4,,2,,3
309,اخلاص,4,,2,,4
310,اخلاصمن,4,,2,,5
311,اخلاق,4,,2,,1
312,اخلاقي,4,,2,,2
313,اخلال,4,,2,,3
314,اخوا دې خوا,4,,2,,4
